               sqrank    sqsalary
sqrank      1.0000000 -0.76709775
sqsalary   -0.7670978  1.00000000
GP         -0.7117955  0.67726039
GS         -0.7933164  0.76067707
sqsnaps    -0.7800363  0.70221688
sqsnapsper -0.6371175  0.59308132
nlatt      -0.8579370  0.54076741
nlattcom   -0.8729759  0.55856458
nlcompPer  -0.4633540  0.27913749
nlyds      -0.8465973  0.53943605
YDS.ATT    -0.1267160 -0.01642803
nltd       -0.9540971  0.69647002
nlint      -0.9033565  0.62237530
nlfum      -0.8494159  0.63053667
                    GP         GS
sqrank     -0.71179552 -0.7933164
sqsalary    0.67726039  0.7606771
GP          1.00000000  0.9313297
GS          0.93132970  1.0000000
sqsnaps     0.93884708  0.9593552
sqsnapsper  0.84299021  0.8631870
nlatt       0.46098311  0.5651154
nlattcom    0.47995030  0.5824937
nlcompPer   0.08720539  0.2123032
nlyds       0.43422387  0.5443153
YDS.ATT     0.15898951  0.1554923
nltd        0.69083378  0.7673321
nlint       0.62731203  0.7080402
nlfum       0.70990982  0.7854157
              sqsnaps  sqsnapsper
sqrank     -0.7800363 -0.63711747
sqsalary    0.7022169  0.59308132
GP          0.9388471  0.84299021
GS          0.9593552  0.86318699
sqsnaps     1.0000000  0.94336169
sqsnapsper  0.9433617  1.00000000
nlatt       0.5453699  0.36825681
nlattcom    0.5703097  0.40114348
nlcompPer   0.1555925  0.03830353
nlyds       0.5249597  0.35627162
YDS.ATT     0.2026574  0.25431603
nltd        0.7590498  0.61508826
nlint       0.7082001  0.56587077
nlfum       0.7903658  0.67180073
                nlatt   nlattcom
sqrank     -0.8579370 -0.8729759
sqsalary    0.5407674  0.5585646
GP          0.4609831  0.4799503
GS          0.5651154  0.5824937
sqsnaps     0.5453699  0.5703097
sqsnapsper  0.3682568  0.4011435
nlatt       1.0000000  0.9959181
nlattcom    0.9959181  1.0000000
nlcompPer   0.5942011  0.5735789
nlyds       0.9711585  0.9670135
YDS.ATT     0.1994418  0.1984925
nltd        0.9029826  0.9174057
nlint       0.9052205  0.9148469
nlfum       0.7977329  0.8079049
             nlcompPer      nlyds
sqrank     -0.46335405 -0.8465973
sqsalary    0.27913749  0.5394361
GP          0.08720539  0.4342239
GS          0.21230317  0.5443153
sqsnaps     0.15559251  0.5249597
sqsnapsper  0.03830353  0.3562716
nlatt       0.59420106  0.9711585
nlattcom    0.57357886  0.9670135
nlcompPer   1.00000000  0.7374563
nlyds       0.73745634  1.0000000
YDS.ATT     0.10782312  0.1857066
nltd        0.41874318  0.8636053
nlint       0.42894228  0.8657217
nlfum       0.33592248  0.7545393
               YDS.ATT       nltd
sqrank     -0.12671597 -0.9540971
sqsalary   -0.01642803  0.6964700
GP          0.15898951  0.6908338
GS          0.15549235  0.7673321
sqsnaps     0.20265736  0.7590498
sqsnapsper  0.25431603  0.6150883
nlatt       0.19944184  0.9029826
nlattcom    0.19849249  0.9174057
nlcompPer   0.10782312  0.4187432
nlyds       0.18570658  0.8636053
YDS.ATT     1.00000000  0.1903351
nltd        0.19033506  1.0000000
nlint       0.21037060  0.9499218
nlfum       0.20915793  0.8795871
                nlint      nlfum
sqrank     -0.9033565 -0.8494159
sqsalary    0.6223753  0.6305367
GP          0.6273120  0.7099098
GS          0.7080402  0.7854157
sqsnaps     0.7082001  0.7903658
sqsnapsper  0.5658708  0.6718007
nlatt       0.9052205  0.7977329
nlattcom    0.9148469  0.8079049
nlcompPer   0.4289423  0.3359225
nlyds       0.8657217  0.7545393
YDS.ATT     0.2103706  0.2091579
nltd        0.9499218  0.8795871
nlint       1.0000000  0.8455918
nlfum       0.8455918  1.0000000
